Running 360 combos (PILOT D2 only)...
[  1/360] vmr-ema30-te0-sk0.5-tc20           d2=   2278.0 trd=  70  eta=4.1min
[  2/360] vmr-ema30-te0-sk0.5-tc30           d2=   1547.5 trd=  63  eta=4.0min
[  3/360] vmr-ema30-te0-sk0.5-tc50           d2=  -2416.5 trd=   8  eta=4.1min
[  4/360] vmr-ema30-te0-sk1.0-tc20           d2=   1969.0 trd=  70  eta=4.1min
[  5/360] vmr-ema30-te0-sk1.0-tc30           d2=   1555.5 trd=  63  eta=4.0min
[  6/360] vmr-ema30-te0-sk1.0-tc50           d2=  -2416.5 trd=   8  eta=4.0min
[  7/360] vmr-ema30-te0-sk1.5-tc20           d2=   1969.0 trd=  70  eta=3.9min
[  8/360] vmr-ema30-te0-sk1.5-tc30           d2=   1548.5 trd=  63  eta=3.9min
[  9/360] vmr-ema30-te0-sk1.5-tc50           d2=  -2416.5 trd=   8  eta=3.9min
[ 62/360] vmr-ema30-te3-sk1.5-tc30           d2=  -2084.0 trd=   8  eta=3.3min
[ 63/360] vmr-ema30-te3-sk1.5-tc50           d2=  -2084.0 trd=   8  eta=3.3min
[ 64/360] vmr-ema30-te3-sk2.0-tc20           d2=  -2084.0 trd=   8  eta=3.3min
[ 65/360] vmr-ema30-te3-sk2.0-tc30           d2=  -2084.0 trd=   8  eta=3.3min
[ 66/360] vmr-ema30-te3-sk2.0-tc50           d2=  -2084.0 trd=   8  eta=3.3min
[ 67/360] vmr-ema30-te3-sk2.5-tc20           d2=  -2076.0 trd=   8  eta=3.3min
[ 68/360] vmr-ema30-te3-sk2.5-tc30           d2=  -2076.0 trd=   8  eta=3.3min
[ 69/360] vmr-ema30-te3-sk2.5-tc50           d2=  -2076.0 trd=   8  eta=3.2min
[ 70/360] vmr-ema30-te3-sk3.0-tc20           d2=  -2076.0 trd=   8  eta=3.2min
[ 71/360] vmr-ema30-te3-sk3.0-tc30           d2=  -2076.0 trd=   8  eta=3.2min
[ 72/360] vmr-ema30-te3-sk3.0-tc50           d2=  -2076.0 trd=   8  eta=3.2min
[ 73/360] vmr-ema30-te4-sk0.5-tc20           d2=  -2299.0 trd=   9  eta=3.2min
[ 74/360] vmr-ema30-te4-sk0.5-tc30           d2=  -2299.0 trd=   9  eta=3.2min
[ 75/360] vmr-ema30-te4-sk0.5-tc50           d2=  -2299.0 trd=   9  eta=3.2min
[ 76/360] vmr-ema30-te4-sk1.0-tc20           d2=  -2103.0 trd=   9  eta=3.2min
[ 77/360] vmr-ema30-te4-sk1.0-tc30           d2=  -2103.0 trd=   9  eta=3.2min
[ 78/360] vmr-ema30-te4-sk1.0-tc50           d2=  -2103.0 trd=   9  eta=3.2min
[ 79/360] vmr-ema30-te4-sk1.5-tc20           d2=  -2103.0 trd=   9  eta=3.1min
